,Unnamed:_0,LS,JMSP,ESP,CO5,TeginOV,2_H,Day_1_aqueous,Day_2_aqueous,2H,Day_1_Break,Day_2_Break,2H_Coag,Day_1,Day_2,2H_Coal,Day_1_Coal,Day_2_Coal
0,1,2.5,0.0,0.0,0.0,0.0,0.0,33.33,33.33,N,Y,Y,Y,Y,Y,Y,Y,Y
1,2,2.5,1.5,0.0,0.0,0.0,32.08,40.33,42.5,N,Y,Y,Y,Y,Y,Y,Y,Y
2,3,2.5,0.0,0.0,1.5,0.0,6.67,33.33,37.33,N,Y,Y,Y,Y,Y,Y,Y,Y
3,4,2.5,0.0,0.0,0.0,1.5,0.0,0.83,,N,Y,Y,Y,Y,Y,Y,Y,Y
4,5,0.0,1.5,0.0,0.0,0.0,15.0,32.33,34.17,N,Y,Y,Y,Y,Y,Y,Y,Y
5,6,2.5,0.0,1.5,0.0,0.0,13.33,31.67,33.33,N,Y,Y,N,N,N,Y,Y,Y
6,7,5.0,0.0,0.0,0.0,0.0,0.0,36.0,36.67,N,Y,Y,Y,Y,Y,Y,Y,Y
7,8,2.5,0.0,0.0,0.0,0.0,0.0,40.0,35.0,N,Y,Y,Y,Y,Y,Y,Y,Y
8,10,0.0,0.0,0.0,0.0,2.5,0.0,0.0,0.0,N,Y,Y,N,Y,Y,N,Y,Y
9,11,0.0,0.0,2.5,0.0,0.0,0.0,0.0,1.67,N,N,N,N,N,N,N,N,N
10,12,2.5,0.0,2.5,0.0,0.0,0.0,12.5,19.0,N,N,Y,N,N,N,N,N,N
11,13,2.5,0.0,0.0,0.0,2.5,0.0,,,N,Y,Y,Y,Y,Y,Y,Y,Y
12,14,0.0,0.0,5.0,0.0,0.0,0.0,0.0,0.0,N,N,N,N,N,N,N,N,N
